rank,pipname,tile,tile_type,tile_x,tile_y,src_wire,dst_wire,net,avg_delay_ps,max_delay_ps
0,INT_L_X2Y130/NW2END1->INT_L_X2Y130/IMUX_L41,INT_L_X2Y130,INT_L,2,130,INT_L_X2Y130/NW2END1,INT_L_X2Y130/IMUX_L41,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
1,INT_L_X2Y130/IMUX_L9->CLBLL_L_X2Y130/CLBLL_L_A5,INT_L_X2Y130,INT_L,2,130,INT_L_X2Y130/IMUX_L9,CLBLL_L_X2Y130/CLBLL_L_A5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
2,INT_R_X5Y116/NN6A1->INT_R_X5Y122/NN6A1,INT_R_X5Y116,INT_R,5,116,INT_R_X5Y116/NN6A1,INT_R_X5Y122/NN6A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
3,INT_R_X5Y122/NN6A1->INT_L_X4Y128/NW2END1,INT_R_X5Y122,INT_R,5,122,INT_R_X5Y122/NN6A1,INT_L_X4Y128/NW2END1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
4,INT_L_X4Y135/NN6A1->INT_L_X4Y141/NN6A1,INT_L_X4Y135,INT_L,4,135,INT_L_X4Y135/NN6A1,INT_L_X4Y141/NN6A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
5,INT_L_X4Y128/NW2END1->INT_L_X4Y129/NW2A1,INT_L_X4Y128,INT_L,4,128,INT_L_X4Y128/NW2END1,INT_L_X4Y129/NW2A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
6,INT_L_X14Y101/NE6A1->INT_L_X14Y106/NW2END1,INT_L_X14Y101,INT_L,14,101,INT_L_X14Y101/NE6A1,INT_L_X14Y106/NW2END1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
7,INT_L_X14Y106/IMUX_L2->CLBLL_L_X14Y106/CLBLL_LL_A2,INT_L_X14Y106,INT_L,14,106,INT_L_X14Y106/IMUX_L2,CLBLL_L_X14Y106/CLBLL_LL_A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
8,INT_R_X11Y105/ER1BEG1->INT_L_X12Y105/BYP_ALT4,INT_R_X11Y105,INT_R,11,105,INT_R_X11Y105/ER1BEG1,INT_L_X12Y105/BYP_ALT4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
9,INT_L_X2Y130/IMUX_L41->CLBLL_L_X2Y130/CLBLL_L_D1,INT_L_X2Y130,INT_L,2,130,INT_L_X2Y130/IMUX_L41,CLBLL_L_X2Y130/CLBLL_L_D1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
10,INT_L_X8Y98/ER1BEG1->INT_R_X9Y98/IMUX42,INT_L_X8Y98,INT_L,8,98,INT_L_X8Y98/ER1BEG1,INT_R_X9Y98/IMUX42,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
11,INT_R_X13Y101/LOGIC_OUTS5->INT_L_X14Y101/NE6A1,INT_R_X13Y101,INT_R,13,101,INT_R_X13Y101/LOGIC_OUTS5,INT_L_X14Y101/NE6A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
12,INT_L_X10Y101/WW4C1->INT_R_X9Y102/NN6A1,INT_L_X10Y101,INT_L,10,101,INT_L_X10Y101/WW4C1,INT_R_X9Y102/NN6A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
13,CLBLL_L_X12Y105/CLBLL_LL_BX->SITEWIRE/SLICE_X16Y105/BX,CLBLL_L_X12Y105,CLBLL_L,12,105,CLBLL_L_X12Y105/CLBLL_LL_BX,SITEWIRE/SLICE_X16Y105/BX,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],0,0
14,INT_R_X9Y115/NR1BEG1->INT_R_X9Y117/NN2A1,INT_R_X9Y115,INT_R,9,115,INT_R_X9Y115/NR1BEG1,INT_R_X9Y117/NN2A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
15,INT_R_X27Y117/EE4BEG1->INT_R_X33Y117/ER1BEG2,INT_R_X27Y117,INT_R,27,117,INT_R_X27Y117/EE4BEG1,INT_R_X33Y117/ER1BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
16,INT_L_X4Y129/NW2A1->INT_L_X2Y130/NW2END1,INT_L_X4Y129,INT_L,4,129,INT_L_X4Y129/NW2A1,INT_L_X2Y130/NW2END1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],132.42498665242925,301
17,CLBLL_L_X2Y130/CLBLL_L_A5->SITEWIRE/SLICE_X1Y130/A4,CLBLL_L_X2Y130,CLBLL_L,2,130,CLBLL_L_X2Y130/CLBLL_L_A5,SITEWIRE/SLICE_X1Y130/A4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],0,0
