tile_x,tile_y,tile_type,t_max,n_leaky_pips,n_leaky_nets,dominant_reg,chipdb_avg_delay_ps,combined_risk
5,123,INT_R,0.000,12,2,rs2_reg,132.42498665242925,0.000
34,115,INT_L,0.000,9,6,rs2_reg,132.42498665242925,0.000
5,125,INT_R,0.000,9,2,rs2_reg,132.42498665242925,0.000
34,117,INT_L,0.000,8,6,rs2_reg,132.42498665242925,0.000
4,149,INT_L,0.000,8,3,rs2_reg,132.42498665242925,0.000
9,115,DSP_R,0.000,7,6,rs2_reg,0,0.000
34,80,DSP_L,347.532,7,6,rs2_reg,0,0.000
9,118,INT_R,0.000,7,4,rs2_reg,132.42498665242925,0.000
34,82,INT_L,347.858,7,5,rs2_reg,132.42498665242925,1702.256
2,130,CLBLL_L,0.000,6,1,rs2_reg,0,0.000
4,129,INT_L,0.000,6,2,rs2_reg,132.42498665242925,0.000
34,83,INT_L,348.159,6,3,rs2_reg,132.42498665242925,1703.731
8,118,INT_L,0.000,6,3,rs2_reg,132.42498665242925,0.000
6,118,INT_L,0.000,6,3,rs2_reg,132.42498665242925,0.000
34,116,INT_L,0.000,6,4,rs2_reg,132.42498665242925,0.000
4,140,INT_L,0.000,6,3,rs2_reg,132.42498665242925,0.000
5,127,INT_R,0.000,6,1,rs2_reg,132.42498665242925,0.000
4,145,INT_L,0.000,6,2,rs2_reg,132.42498665242925,0.000
10,93,INT_L,345.943,6,1,rs2_reg,132.42498665242925,1692.886
2,135,CLBLL_L,0.000,6,3,rs2_reg,0,0.000
8,98,INT_L,350.915,5,4,rs2_reg,132.42498665242925,1717.216
9,108,INT_R,0.000,5,3,rs2_reg,132.42498665242925,0.000
9,117,INT_R,0.000,5,5,rs2_reg,132.42498665242925,0.000
9,95,DSP_R,320.431,5,4,rs2_reg,0,0.000
10,82,INT_L,293.263,5,1,rs2_reg,132.42498665242925,1435.093
4,148,INT_L,0.000,5,2,rs2_reg,132.42498665242925,0.000
4,122,INT_L,0.000,5,2,rs2_reg,132.42498665242925,0.000
4,128,INT_L,0.000,4,2,rs2_reg,132.42498665242925,0.000
9,110,INT_R,0.000,4,2,rs2_reg,132.42498665242925,0.000
34,81,INT_L,337.244,4,2,rs2_reg,132.42498665242925,1650.317
9,97,INT_R,271.781,4,3,rs2_reg,132.42498665242925,1329.973
18,138,INT_L,0.000,4,1,rs2_reg,132.42498665242925,0.000
16,118,INT_L,0.000,4,2,rs2_reg,132.42498665242925,0.000
4,139,INT_L,0.000,4,3,rs2_reg,132.42498665242925,0.000
4,137,INT_L,0.000,4,2,rs2_reg,132.42498665242925,0.000
7,125,INT_R,0.000,4,1,rs2_reg,132.42498665242925,0.000
3,137,INT_R,0.000,4,1,rs2_reg,132.42498665242925,0.000
14,106,INT_L,293.263,3,1,rs2_reg,132.42498665242925,1435.093
13,101,INT_R,271.781,3,1,rs2_reg,132.42498665242925,1329.973
12,105,INT_L,345.943,3,1,rs2_reg,132.42498665242925,1692.886
9,98,INT_R,271.781,3,3,rs2_reg,132.42498665242925,1329.973
4,141,INT_L,0.000,3,2,rs2_reg,132.42498665242925,0.000
34,118,INT_L,0.000,3,2,rs2_reg,132.42498665242925,0.000
5,131,INT_R,0.000,3,1,rs2_reg,132.42498665242925,0.000
10,89,INT_L,303.108,3,1,rs2_reg,132.42498665242925,1483.272
8,96,INT_L,347.886,3,2,rs2_reg,132.42498665242925,1702.395
20,89,INT_L,271.781,3,1,rs2_reg,132.42498665242925,1329.973
5,137,INT_R,0.000,3,2,rs2_reg,132.42498665242925,0.000
3,138,INT_R,0.000,3,2,rs2_reg,132.42498665242925,0.000
6,146,INT_L,0.000,3,3,rs2_reg,132.42498665242925,0.000
17,116,INT_R,0.000,3,1,rs2_reg,132.42498665242925,0.000
12,118,INT_L,0.000,3,1,rs2_reg,132.42498665242925,0.000
8,110,INT_L,0.000,3,2,rs2_reg,132.42498665242925,0.000
7,84,CLBLM_R,315.741,3,1,rs2_reg,0,0.000
9,85,INT_R,345.943,3,1,rs2_reg,132.42498665242925,1692.886
8,116,INT_L,0.000,3,3,rs2_reg,132.42498665242925,0.000
4,138,INT_L,0.000,3,2,rs2_reg,132.42498665242925,0.000
31,115,INT_R,0.000,3,2,rs2_reg,132.42498665242925,0.000
2,136,INT_L,0.000,3,2,rs2_reg,132.42498665242925,0.000
9,116,INT_R,0.000,3,2,rs2_reg,132.42498665242925,0.000
20,93,INT_L,347.886,3,1,rs2_reg,132.42498665242925,1702.395
4,144,CLBLL_L,0.000,3,1,rs2_reg,0,0.000
9,107,INT_R,341.824,3,1,rs2_reg,132.42498665242925,1672.731
14,101,INT_L,347.886,2,1,rs2_reg,132.42498665242925,1702.395
11,105,INT_R,347.886,2,1,rs2_reg,132.42498665242925,1702.395
10,101,INT_L,271.781,2,1,rs2_reg,132.42498665242925,1329.973
27,117,INT_R,0.000,2,1,rs2_reg,132.42498665242925,0.000
33,117,INT_R,0.000,2,1,rs2_reg,132.42498665242925,0.000
